name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,VDF_fftt1
South Ash Avenue,111,5594960,77,76,,158.7765433,1,29,1000,residential,6,"LINESTRING (-111.9424525 33.4176183, -111.9424492 33.4170136, -111.9424497 33.4169032, -111.9424528 33.4161904)",auto,1,0.328503193
South Ash Avenue,112,5594960,77,78,,160.6452799,1,29,1000,residential,6,"LINESTRING (-111.9424525 33.4176183, -111.9424524 33.4177004, -111.9424519 33.4183184, -111.9424528 33.4184029, -111.9424582 33.4189409, -111.9424489 33.4189802, -111.9424268 33.4190138, -111.9423945 33.4190482)",auto,1,0.332369545
West 10th Street,113,5608313,78,73,,107.3849767,1,29,1000,residential,6,"LINESTRING (-111.9423945 33.4190482, -111.9418437 33.4190521, -111.9417794 33.4190532, -111.9412375 33.4190521)",auto,1,0.222175814
South Ash Avenue,114,5594960,78,77,,160.6452799,1,29,1000,residential,6,"LINESTRING (-111.9423945 33.4190482, -111.9424268 33.4190138, -111.9424489 33.4189802, -111.9424582 33.4189409, -111.9424528 33.4184029, -111.9424519 33.4183184, -111.9424524 33.4177004, -111.9424525 33.4176183)",auto,1,0.332369545
West 10th Street,115,5608313,78,247,,109.7795496,1,29,1000,residential,6,"LINESTRING (-111.9423945 33.4190482, -111.9432482 33.4190383, -111.9433085 33.4190348, -111.9433719 33.4190264, -111.9434306 33.4190141, -111.9434766 33.4190015, -111.9435652 33.4189718)",auto,1,0.227130103
South Ash Avenue,116,5594960,78,405,,154.4507803,1,29,1000,residential,6,"LINESTRING (-111.9423945 33.4190482, -111.9423684 33.4190899, -111.9423603 33.4191344, -111.9423658 33.4196106, -111.942368 33.4197262, -111.9423734 33.4204313)",auto,1,0.319553338
South Ash Avenue,117,778414513,79,152,,79.52326267,1,29,1000,residential,6,"LINESTRING (-111.9423721 33.4205087, -111.9423829 33.4209057, -111.9423865 33.4210168, -111.9423905 33.4212237)",auto,1,0.164530888
,118,778414507,79,398,,7.05898134,1,29,1000,residential,6,"LINESTRING (-111.9423721 33.4205087, -111.9423878 33.4205073, -111.942402 33.4205017, -111.9424127 33.420493, -111.9424195 33.420482, -111.9424218 33.4204698)",auto,0,0.014604789
South Ash Avenue,119,533573786,80,152,,78.33847151,1,29,1000,residential,6,"LINESTRING (-111.9423899 33.4219281, -111.9423956 33.4218115, -111.9423945 33.4217049, -111.9423906 33.4213209, -111.9423905 33.4212237)",auto,1,0.162079596
West University Drive,120,436794698,80,278,,44.872473,2,40,1000,primary,3,"LINESTRING (-111.9423899 33.4219281, -111.9425045 33.4219279, -111.9428734 33.4219273)",auto,1,0.06730871
West University Drive,121,436794695,80,279,,59.74076746,2,35,1000,primary,3,"LINESTRING (-111.9423899 33.4219281, -111.9422926 33.421929, -111.9417698 33.4219298, -111.9417462 33.4219298)",auto,1,0.102412744
